"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"569","R_3mklh94Z3aX60cd","4","2","0","2",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Mail ,Calendar","Traditional Swim Lessons","Painting ,Drawing","Board Games","Pilates","None of the above","Cooking classes ,Guided hikes","Slightly familiar","Facebook"
"570","R_1IbXRuhkvZjMT42","4","1","18","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Mail ,Brochure","Water Fitness ,Paddleboard Yoga","Jewelry Making ,Lettering","Board Games","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Facebook"
"571","R_1gGXjYkgNFDnVSx","6","4","9","11","13","14",NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Mail ,Brochure","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing","Board Games ,Card Games","Circuit training ,Yoga ,Pilates","Basketball ,Volleyball ,Indoor soccer","Golf simulator ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"572","R_BVTQXfkFf7gneHD","4","2","9","11",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure ,Calendar","None of the above","Painting ,Drawing ,Jewelry Making ,Lettering","Card Games","Circuit training ,Yoga","Volleyball ,Tennis","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth,Facebook"
"573","R_1eK9mg0AguO1fEN","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Mail ,Brochure","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo","Painting ,Drawing ,Jewelry Making","Board Games ,Card Games ,Chess ,Other:","Circuit training ,Boot camp ,Yoga","None of the above","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook"
"574","R_24uDP6ikn4Sy1XQ","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Rec Open Swim","Drawing ,Jewelry Making","Board Games ,Card Games","Boot camp","Pickleball ,Tennis","Guided hikes","Not familiar at all","Facebook"
"575","R_1QLuOKTAAh07Gqa","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Rec Open Swim ,Water Fitness","Painting","Card Games ,Chess","","Basketball ,Badminton","Golf simulator ,Cooking classes","Very familiar","Email,Word of Mouth,Facebook"
"576","R_2A07yqXEGH8uNdB","0","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Brochure","Rec Open Swim ,Water Fitness","Painting","None of the above","Yoga","None of the above","Cooking classes","Moderately familiar","Email,Facebook,Through Community Involvement"
"577","R_3QY3CtHZkFJcUTg","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Calendar","None of the above","Painting","Board Games ,Card Games","Adult Ballet (or other dance)","","Golf simulator ,Cooking classes","Not familiar at all","Facebook"
"578","R_1fZTyd3qR2JPaJm","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","Yes","Other","Email","Rec Open Swim","Painting","Board Games ,Card Games ,Chess","Circuit training ,Boot camp","Basketball","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
