"","ResponseId","Q49_1","Q2_1","Q3_1","Q3_2","Q3_3","Q3_4","Q3_5","Q3_6","Q3_7","Q3_8","Q3_9","Q3_10","Q5","Q8","Q9","Race","Best_Way_to_hear","Aquatic Interest","Art Interest","Game Night Interest","Fitness Class Interest","Intramural Sports Interst","Programs Interest","Q14","How Hear"
"379","R_1lzasQuo0iELcFQ","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games","Circuit training ,Yoga ,Pilates ,Adult Ballet (or other dance)","Badminton ,Pickleball ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email"
"380","R_1laAgJY8lbwC0lz","4","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","Yes","Other","Email ,Text ,Calendar","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Lettering","Board Games ,Card Games","Yoga ,Pilates","None of the above","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email"
"381","R_bHkz7yBLM4YsEox","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","","Circuit training","","Guided hikes","Extremely familiar","Word of Mouth,Through Community Involvement"
"382","R_3lQ5XNDN7pGWpm7","4","2","9","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing ,Jewelry Making","None of the above","None of the above","Basketball ,Indoor soccer","Golf simulator ,Guided hikes","Slightly familiar","Email,Word of Mouth,Through Community Involvement"
"383","R_11WRad2uekiGTEW","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email ,Text ,Mail","Rec Lap Swim ,Water Fitness","Jewelry Making","None of the above","Circuit training ,Boot camp ,Other","Pickleball","Guided hikes","Moderately familiar","Email"
"384","R_28B3XI5LNEjALBR","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email ,Text ,Mail ,Brochure ,Calendar ,Other:","Rec Open Swim ,Water Fitness ,Water Polo","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games","Yoga ,Pilates ,Adult Ballet (or other dance)","Pickleball","Cooking classes","Very familiar","Email,Mail,Facebook,Through Community Involvement,Other"
"385","R_1hYhlDwVk8edAaC","4","2","5","2",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Asian","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Jewelry Making","Board Games ,Card Games","Yoga ,Pilates ,Adult Ballet (or other dance) ,Other","Volleyball","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Facebook"
"386","R_293KPHWklcByAI3","2","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Other","Mail","Traditional Swim Lessons ,Water Fitness","Jewelry Making ,Lettering","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Volleyball","Cooking classes ,Guided hikes","Not familiar at all","Email,Word of Mouth"
"387","R_r3i0b9qI4OjUeJz","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Text ,Brochure ,Calendar","Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","E-Games","Yoga","None of the above","Cooking classes","Moderately familiar","Email,Word of Mouth,Facebook"
"388","R_3RsGaQTZpBS9rJk","4","1","11",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,"No","White","Email","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing ,Jewelry Making","None of the above","Circuit training","None of the above","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook"
"389","R_2CoZXOyW5FkW3CN","4","2","5","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Other","Email","Traditional Swim Lessons ,Lifeguard Programs ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing","None of the above","Circuit training ,Yoga","Basketball ,Volleyball ,Badminton ,Indoor soccer","Guided hikes","Not familiar at all","Facebook"
"390","R_UcM1alB8fabQafn","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing","Board Games ,Card Games","Yoga ,Pilates ,Adult Ballet (or other dance)","Badminton ,Pickleball","Golf simulator ,Cooking classes","Moderately familiar","Mail,Facebook,Through Community Involvement"
"391","R_3qEiBv7SSHBNhJ8","4","2","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Mail ,Brochure","Traditional Swim Lessons ,Rec Open Swim","Painting ,Drawing","Board Games","Yoga ,Adult Ballet (or other dance)","Basketball ,Volleyball","Cooking classes","Slightly familiar","Facebook"
"392","R_3iOnxaiPSVBLDbA","4","2","4","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Mail ,Brochure","Traditional Swim Lessons ,Rec Open Swim ,Water Polo","Jewelry Making","","Circuit training ,Boot camp","Basketball ,Volleyball","","Slightly familiar","Word of Mouth,I never hear about the programs"
"393","R_1fmkD61xxnRjjOP","4","2","5","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Mail","Traditional Swim Lessons ,Rec Lap Swim ,Water Polo","","","Circuit training ,Boot camp","Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","Golf simulator","Slightly familiar","Facebook"
"394","R_d4l7nLTOhvLlxlL","4","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White_Black or African American","Email ,Text ,Other:","Traditional Swim Lessons ,Water Fitness","Painting ,Jewelry Making","Board Games ,E-Games ,Chess","Circuit training ,Boot camp ,Yoga","Badminton ,Indoor soccer ,Pickleball ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Facebook"
"395","R_b1k9ziSqpa7hwRP","4","2","4","9",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","None of the above","Circuit training ,Boot camp ,Yoga ,Adult Ballet (or other dance)","Basketball ,Indoor soccer ,Tennis","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Facebook"
"396","R_1gtjhgAGW21nIKW","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Other:","None of the above","Drawing","Card Games ,Other:","None of the above","Other:","Golf simulator","Slightly familiar","Facebook"
"397","R_28Bt0GFd9b0pBkD","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Text","Rec Lap Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Lettering","Board Games","Yoga ,Pilates","Pickleball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"398","R_29dd7UkOsgm8iwI","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Water Fitness","None of the above","None of the above","None of the above","Pickleball","Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email"
"399","R_2R7D6pXzKrkzHVX","3","1","9",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","Other","Email ,Text ,Mail","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","None of the above","None of the above","Circuit training ,Boot camp ,Adult Ballet (or other dance)","Basketball ,Indoor soccer ,Tennis","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Facebook"
"400","R_1LI52lOGz2pbCob","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Water Fitness ,Water Polo","None of the above","Board Games ,Card Games","Circuit training ,Boot camp","Volleyball","Guided hikes","Not familiar at all","Facebook"
"401","R_2TXYAsH8pLJ35zG","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Rec Lap Swim ,Water Fitness","None of the above","None of the above","None of the above","None of the above","None of the above","Slightly familiar","Facebook"
"402","R_3qPaSorFDDk7iYk","5","3","11","9","2",NA,NA,NA,"0",NA,NA,NA,"No","45,000-64,999","No","White","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","","Basketball ,Other:","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Word of Mouth,Facebook,Through Community Involvement"
"403","R_1fkIyjRk4zBLAGo","4","2","7","4",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Mail ,Brochure","Traditional Swim Lessons ,Water Fitness","Lettering","Card Games","Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball","Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
"404","R_2qwol8AymUHWn9f","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Text","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Pilates","Other:","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"405","R_2VaITWkmBS92rFH","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Brochure ,Calendar ,Other:","Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Other:","Painting ,Drawing ,Jewelry Making ,Other:","Board Games ,Card Games ,Chess","Other","None of the above","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Mail,Facebook"
"406","R_1NCG9di0a77Jcx2","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","No","White","Brochure","Rec Open Swim ,Water Fitness","Jewelry Making","Board Games","Other","Badminton","Cooking classes","Very familiar","Word of Mouth"
"407","R_3QVhy1wnW6kKz6P","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Drawing","Card Games","Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Other:","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
"408","R_8w8hBLPkYrXcRjj","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Brochure","Lifeguard Programs ,Paddleboard Yoga","Painting","","Circuit training ,Yoga","Pickleball ,Tennis","Golf simulator ,Cooking classes ,Guided hikes","Moderately familiar","Word of Mouth"
"409","R_1qdNtDVWvvWvxl9","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","None of the above","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Tennis","Cooking classes","Slightly familiar","Facebook"
"410","R_20TAsD4CKoctpga","4","2","7","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email ,Text ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,E-Games ,Card Games ,Chess","Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","Basketball ,Volleyball ,Indoor soccer ,Tennis","Golf simulator ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Facebook"
"411","R_1kRoqR7iRAsS34c","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","65,000-103,999","No","White","Email","Rec Open Swim ,Water Fitness","None of the above","None of the above","Yoga ,Other","None of the above","None of the above","Slightly familiar","Through Community Involvement"
"412","R_p4y4d24bQYI7w9X","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Asian","Email ,Text","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting","Board Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Badminton ,Pickleball ,Tennis","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Text,Facebook,Through Community Involvement"
"413","R_3Jyra8C8glkZVFJ","5","3","11","11","4",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail","Lifeguard Programs ,Rec Open Swim","Painting ,Drawing ,Jewelry Making","Board Games ,E-Games ,Card Games ,Chess","Circuit training","Basketball ,Volleyball ,Badminton ,Indoor soccer ,Pickleball ,Tennis","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Extremely familiar","Email,Mail"
"414","R_2tLGH9Tx0S7WoOS","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Polo","Drawing","Board Games ,Card Games","Boot camp ,Yoga","Basketball","Cooking classes","Not familiar at all","Facebook"
"415","R_12xK2VX5aAeKIgL","4","2","7","11",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Text","Traditional Swim Lessons ,Rec Open Swim","None of the above","Board Games ,Chess","Circuit training","None of the above","Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Facebook"
"416","R_3oRYIGgr2VnFYMv","5","3","2","9","13",NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","Black or African American","Email ,Mail ,Calendar","Traditional Swim Lessons ,Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting ,Drawing ,Jewelry Making","E-Games","Circuit training ,Boot camp ,Yoga","Basketball ,Volleyball ,Indoor soccer","Golf simulator ,Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Word of Mouth,Facebook"
"417","R_W7FQosWdtdLq6tj","3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Paddleboard Yoga","None of the above","None of the above","Yoga ,Adult Ballet (or other dance)","Volleyball ,Tennis","Golf simulator ,Cooking classes","Moderately familiar","Facebook"
"418","R_2QQzDOtmn8JzA81","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","35,000-44,999","No","White","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons ,Rec Open Swim","Lettering","None of the above","Yoga ,Adult Ballet (or other dance)","Pickleball","Golf simulator ,Cooking classes ,Guided hikes","Slightly familiar","Email,Word of Mouth"
"419","R_3mmBo55x173MZlc","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Email","Rec Lap Swim ,Water Fitness","None of the above","None of the above","Other","Basketball ,Volleyball ,Badminton","Golf simulator","Slightly familiar","Facebook"
"420","R_2zknGwt7Pv3ukuw","3","1","7",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","26,000-34,999","Yes","Asian","Mail","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","","Board Games","Boot camp ,Yoga","Volleyball ,Tennis","Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
"421","R_bPWtXm24Q8ZZtp7","3","2","11","13",NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Traditional Swim Lessons ,Lifeguard Programs ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making","Board Games ,Card Games","Yoga","Basketball ,Volleyball ,Badminton ,Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Facebook"
"422","R_vfflFmDhoIAa5ih","2","1","4",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","Black or African American","Mail","Water Fitness","Painting","Board Games","Circuit training ,Boot camp","Basketball","Cooking classes","Not familiar at all","Word of Mouth"
"423","R_2Qn7ujPChpsnrMV","3","2","2","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Traditional Swim Lessons","","","Pilates ,Other","Basketball ,Indoor soccer","Golf simulator","Slightly familiar","I never hear about the programs"
"424","R_2tlrhGuT9WvFqOI","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Less than 26,000","No","White","Email","Rec Lap Swim ,Rec Open Swim ,Water Fitness","Painting","","Circuit training","","Guided hikes","Not familiar at all","Other"
"425","R_2CH7VtISFOvv7jy","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","26,000-34,999","No","Other","Email","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Other:","None of the above","Yoga ,Adult Ballet (or other dance)","None of the above","","Moderately familiar","Email,Word of Mouth,Facebook"
"426","R_RQVpHRonPfvsPpD","4","2","14","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Water Fitness ,Paddleboard Yoga ,Other:","Drawing ,Other:","None of the above","Circuit training ,Boot camp ,Yoga ,Pilates ,Other","Tennis","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Through Community Involvement,Other"
"427","R_2q8JFONQ5ZKhmgb","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email ,Mail","Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering","Board Games ,Card Games","Yoga ,Pilates ,Other","Basketball","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Not familiar at all","Facebook"
"428","R_1ONpajn7uhD3dqw","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Don't Know","No","White","Email ,Calendar ,Other:","Rec Lap Swim ,Water Fitness ,Other:","None of the above","None of the above","Circuit training ,Yoga ,Pilates","None of the above","Golf simulator ,Cooking classes ,Guided hikes","Slightly familiar","Mail,Facebook"
"429","R_3hisVb9E6SzksKK","4","1","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting","Board Games ,Card Games","Circuit training ,Boot camp","Basketball ,Volleyball","Golf simulator ,Guided hikes","Very familiar","Email,Word of Mouth,Facebook"
"430","R_3q7MBn0u5ek5Wn0","4","1","18","16",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Water Fitness","Painting","None of the above","Circuit training","Tennis","Guided hikes","Very familiar","Email,Facebook"
"431","R_3ixmBW08Sa7DTs6","4","1","14",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","Don't Know","Yes","White_Black or African American","Email ,Text","Traditional Swim Lessons ,Rec Open Swim ,None of the above","Painting","Board Games ,Card Games","Circuit training","None of the above","Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email"
"432","R_2aE4uAZubDvw1mY","3","2","13","14",NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","Black or African American","Email","Traditional Swim Lessons ,Lifeguard Programs","Jewelry Making","None of the above","Circuit training ,Boot camp ,Yoga ,Adult Ballet (or other dance)","Basketball","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Word of Mouth,Through Community Involvement"
"433","R_Z8FDh5f4lovtVlL","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Rec Open Swim","Painting","Board Games ,Card Games","None of the above","None of the above","Golf simulator ,Cooking classes ,Guided hikes","Not familiar at all","Facebook"
"434","R_2TAg58VeBT9qZGZ","3","2","9","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","45,000-64,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Paddleboard Yoga","","","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball","None of the above","Very familiar","Through Community Involvement"
"435","R_2CPrmvEBWW0w3VB","4","1","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","Yes","White","Email ,Text ,Mail","Rec Open Swim","Painting ,Drawing","Board Games ,E-Games","Adult Ballet (or other dance)","Basketball","Golf simulator ,Cooking classes","Very familiar","Facebook"
"436","R_Q0TxlMkHN9WYz6h","1","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","Yes","White","Mail ,Brochure ,Calendar","Rec Lap Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing ,Jewelry Making ,Lettering ,Other:","Board Games ,Card Games","Circuit training ,Boot camp ,Yoga ,Pilates ,Adult Ballet (or other dance)","None of the above","Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Word of Mouth,Facebook"
"437","R_1NsjEYKUKn4ooiS","5","3","2","7","7",NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness ,Paddleboard Yoga","Painting ,Drawing","Board Games ,Card Games","Yoga","Basketball ,Indoor soccer","Cooking classes ,Guided hikes","Moderately familiar","Facebook"
"438","R_27UWKQQJK4ORCoB","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","Black or African American","Text","Traditional Swim Lessons ,Rec Open Swim ,Water Fitness","Painting ,Lettering","Board Games ,E-Games ,Card Games","Yoga ,Adult Ballet (or other dance)","Other:","Golf simulator ,Cooking classes","Extremely familiar","Facebook"
"439","R_ZfP3RzFucDdb4Z3","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","104,000-115,999","No","White","Mail","Rec Lap Swim","Painting","","Circuit training ,Boot camp ,Yoga ,Pilates","None of the above","Guided hikes","Slightly familiar","Facebook"
"440","R_a8IsTUm1P4kqAnv","4","2","4","7",NA,NA,NA,NA,"18",NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing ,Other:","","Adult Ballet (or other dance)","Basketball ,Indoor soccer","Cooking classes ,Guided hikes","Moderately familiar","Facebook"
"441","R_2dA7Rbg3cyPVufD","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes","104,000-115,999","No","White","Mail","Water Fitness","Drawing","Board Games","Other","None of the above","Guided hikes","Very familiar","Facebook,Through Community Involvement"
"442","R_1GvSWDOxjqJVVt7","3","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim","Painting ,Drawing","Board Games ,Card Games ,Chess","","Basketball ,Volleyball","Cooking classes","Very familiar","Word of Mouth,Facebook,Through Community Involvement"
"443","R_25Bcjpb68bJT0af","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Calendar ,Other:","Traditional Swim Lessons ,Lifeguard Programs ,Water Fitness","None of the above","None of the above","Circuit training ,Boot camp","None of the above","Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth"
"444","R_2xD9ip7ej1uP4uo","2","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email","Water Fitness","","","Yoga","Pickleball","Environmental habits (composting, home garden, bee-keeping)","Very familiar","Other"
"445","R_1r1FfBdu0umEnZs","4","2","9","5",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","Asian","Email ,Mail","Traditional Swim Lessons ,Paddleboard Yoga","Painting ,Lettering","None of the above","Circuit training ,Yoga","Basketball ,Badminton ,Pickleball","Golf simulator ,Environmental habits (composting, home garden, bee-keeping)","Moderately familiar","Email,Word of Mouth,Facebook"
"446","R_pFZtmnqk9UF6K8F","4","2","2","0",NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure ,Calendar","Traditional Swim Lessons","Jewelry Making","Board Games","Pilates ,Adult Ballet (or other dance)","Indoor soccer","Golf simulator ,Cooking classes ,Guided hikes","Not familiar at all","I never hear about the programs"
"447","R_1kIEWTRJfpe0M1R","3","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email ,Mail ,Brochure","None of the above","Painting ,Jewelry Making ,Other:","Board Games ,Card Games","Circuit training ,Other","None of the above","Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Email,Mail,Word of Mouth,Facebook"
"448","R_r735NiwZmU2ZoAx","2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","65,000-103,999","No","White","Email","Rec Lap Swim ,Water Fitness","None of the above","Card Games ,Chess","None of the above","Volleyball ,Pickleball ,Tennis","Golf simulator ,Guided hikes","Moderately familiar","Facebook"
"449","R_RliBPuap0nNkiJP","5","3","9","13","14",NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Email ,Text ,Mail ,Brochure","Traditional Swim Lessons ,Rec Lap Swim ,Rec Open Swim ,Water Fitness ,Water Polo ,Paddleboard Yoga","Painting","Board Games ,E-Games ,Card Games ,Chess","Circuit training ,Boot camp ,Yoga ,Pilates","Basketball ,Pickleball","Golf simulator ,Cooking classes ,Guided hikes ,Environmental habits (composting, home garden, bee-keeping)","Slightly familiar","Word of Mouth"
"450","R_3oC2rqkVy9Wm7TL","1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No",NA,NA,"","Email","None of the above","None of the above","Board Games","None of the above","Pickleball","","Slightly familiar","Facebook"
"451","R_rcEYR3VimeRHXfH","4","2","9","11",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Mail ,Calendar","Lifeguard Programs ,Rec Lap Swim ,Rec Open Swim ,Water Polo ,Paddleboard Yoga","None of the above","None of the above","Yoga","Volleyball ,Indoor soccer","Cooking classes ,Environmental habits (composting, home garden, bee-keeping)","Very familiar","Word of Mouth"
"452","R_3Emcvn956XiQHDC","4","2","4","7",NA,NA,NA,NA,NA,NA,NA,NA,"No","More than 115,999","No","White","Mail","Rec Lap Swim","Painting","Card Games","Yoga","","","Not familiar at all","Facebook"
"453","R_12mtSnL141xNcDB","4","0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","Don't Know","No","White","Email","Rec Open Swim ,Water Fitness","Other:","None of the above","Yoga ,Other","Indoor soccer ,Other:","","Very familiar","Facebook"
"454","R_3JxV0eqyaufMdrQ","3","1","16",NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","35,000-44,999","No","White","Email","Water Fitness","Painting ,Jewelry Making","Board Games","Yoga","Volleyball","Cooking classes","Very familiar","Email"
